tag,status,category,post_count,alias_candidates,raw_variants,locations
ear_pull,alias_candidate_unverified,,,"[""grabbing_another's_ear""]","[""ear_pull""]","[""동작 1 / 귀 / 동작 / 귀를 당긴다""]"
ear_wiggle,snapshot_match,0,2964,[],"[""ear_wiggle""]","[""동작 1 / 귀 / 동작 / 귀를 흔든다""]"
earcleaning,not_in_snapshot,,,[],"[""earcleaning""]","[""행동 / 동사 / 동사 ㄱ / 누구의 귀를 청소하다""]"
earlobes,alias_candidate_unverified,,,"[""long_earlobes""]","[""earlobes""]","[""외모 / 귀 / 부위 / 귓볼""]"
earnest_face,not_in_snapshot,,,[],"[""earnest_face""]","[""동작 1 / 얼굴 / 표정 / 간절한 표정""]"
ears,not_in_snapshot,,,[],"[""ears""]","[""외모 / 귀 / 부위 / 귀""]"
eastern_quota,not_in_snapshot,,,[],"[""Eastern_Quota""]","[""인물 / 인종 / 피부색 / 동양계 쿼터""]"
easygoing_face,not_in_snapshot,,,[],"[""easygoing_face""]","[""동작 1 / 얼굴 / 표정 / 느긋한 표정""]"
eating,snapshot_match,0,115886,[],"[""eating""]","[""동작 1 / 입 / 먹다 / 먹다""]"
eating_kiss,not_in_snapshot,,,[],"[""Eating_Kiss""]","[""동작 1 / 입 / 키스하다 / 혀를 깨물며 키스한다""]"
eavesdropping,snapshot_match,0,270,[],"[""eavesdropping""]","[""행동 / 동사 / 동사 ㅅ / 누군가 소리를 엿듣다""]"
ecstasy_face,not_in_snapshot,,,[],"[""ecstasy_face""]","[""동작 1 / 얼굴 / 표정 / 황홀한 표정""]"
eda(black_lagoon),not_in_snapshot,,,[],"[""Eda(Black_Lagoon)""]","[""작품 / 캐릭터 / 블랙 라군 / 에다""]"
effect*_blur,placeholder_review,,,[],"[""effect*_blur""]","[""기본 / 연출 / 효과 / 블러 효과""]"
effect*_glossy,placeholder_review,,,[],"[""effect*_glossy""]","[""기본 / 연출 / 효과 / 광택 효과""]"
effect*_light_rays,placeholder_review,,,[],"[""effect*_light_rays""]","[""기본 / 연출 / 효과 / 광선 효과""]"
effect*_motion_blur,placeholder_review,,,[],"[""effect*_motion_blur""]","[""기본 / 연출 / 효과 / 모션 블러 효과""]"
effect*_speed_lines,placeholder_review,,,[],"[""effect*_speed_lines""]","[""기본 / 연출 / 효과 / 집중선 효과""]"
effect*_trembling,placeholder_review,,,[],"[""effect*_trembling""]","[""기본 / 연출 / 효과 / 떨림 효과*""]"
egg-shaped_face,not_in_snapshot,,,[],"[""egg-shaped_face""]","[""외모 / 얼굴 / 모양 / 얼굴이 계란형이다""]"
egg_vibrator,snapshot_match,0,8229,[],"[""egg_vibrator""]","[""!섹스 / 도구 / 자위 / 구형 바이브레이터""]"
egs_up,not_in_snapshot,,,[],"[""egs_up""]","[""동작 1 / 다리 / 올리다 / 다리 양쪽을 위로 올리다""]"
egyptian_mythology,snapshot_match,3,975,[],"[""Egyptian_mythology""]","[""기본 / 테마 / 신화 / 이집트 신화""]"
eina_tulle,snapshot_match,4,109,[],"[""Eina_Tulle""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 에이나 튤""]"
ejaculation,snapshot_match,0,72759,[],"[""ejaculation""]","[""!섹스 / 섹스 / 사정 / 정액을 사정한다""]"
elbowing,snapshot_match,0,305,[],"[""elbowing""]","[""행동 / 동사 / 동사 ㅍ / 누구를 팔꿈치로 때리다""]"
electronic_music,not_in_snapshot,,,[],"[""electronic_music""]","[""기본 / 테마 / 음악 / 전자 음악""]"
electronica,not_in_snapshot,,,[],"[""Electronica""]","[""기본 / 테마 / 음악 / 일렉트로니카""]"
elektra,not_in_snapshot,,,[],"[""Elektra""]","[""작품 / 캐릭터 / 마블 코믹스 / 엘렉트라""]"
elf,snapshot_match,0,113265,[],"[""Elf""]","[""인물 / 종족 / 판타지 / 엘프""]"
elizabeth_báthory,not_in_snapshot,,,[],"[""Elizabeth_Báthory""]","[""작품 / 캐릭터 / Fate/Grand order / 엘리자베스 바토리""]"
elizabeth_báthory_(brave),not_in_snapshot,,,[],"[""Elizabeth_Báthory_(Brave)""]","[""작품 / 캐릭터 / Fate/Grand order / 엘리자베스 바토리 브레이브""]"
elizabeth_báthory_(cinderella),not_in_snapshot,,,[],"[""Elizabeth_Báthory_(Cinderella)""]","[""작품 / 캐릭터 / Fate/Grand order / 엘리자베스 바토리 신데렐라""]"
elizabeth_báthory_(halloween),not_in_snapshot,,,[],"[""Elizabeth_Báthory_(Halloween)""]","[""작품 / 캐릭터 / Fate/Grand order / 엘리자베스 바토리 할로윈""]"
elizabeth_liones,snapshot_match,4,534,[],"[""Elizabeth_Liones""]","[""작품 / 캐릭터 / 일곱 개의 대죄 / 엘리자베스 리오네스""]"
elizabeth_thompson,snapshot_match,4,197,[],"[""Elizabeth_Thompson""]","[""작품 / 캐릭터 / 소울 이터 / 엘리자베스 톰슨""]"
embarrassed_face,not_in_snapshot,,,[],"[""Embarrassed_face""]","[""동작 1 / 얼굴 / 표정 / 당황한 표정""]"
emma_frost,snapshot_match,4,1255,[],"[""Emma_Frost""]","[""작품 / 캐릭터 / 마블 코믹스 / 엠마 프로스트""]"
empty_eyes,snapshot_match,0,50411,[],"[""empty_eyes""]","[""외모 / 눈 / 모양 / 강간당한 눈"", ""외모 / 눈 / 특징 / 눈이 빛을 잃었다""]"
enchantress,not_in_snapshot,,,[],"[""Enchantress""]","[""작품 / 캐릭터 / DC 코믹스 / 인첸트리스""]"
energy_wings,snapshot_match,0,6249,[],"[""energy_wings""]","[""체형 / 날개 / 종류 / 에너지 날개""]"
engineer,snapshot_match,0,137,[],"[""engineer""]","[""인물 / 직업 / 과학 / 엔지니어""]"
english_teacher,not_in_snapshot,,,[],"[""English_teacher""]","[""인물 / 직업 / 교육 / 영어 교사""]"
enju_aihara,not_in_snapshot,,,[],"[""Enju_Aihara""]","[""작품 / 캐릭터 / 블랙 불릿 / 아이하라 엔쥬""]"
enka,not_in_snapshot,,,[],"[""Enka""]","[""기본 / 테마 / 음악 / 엔카""]"
entoma_vasilissa_zeta,snapshot_match,4,259,[],"[""Entoma_Vasilissa_Zeta""]","[""작품 / 캐릭터 / 오버로드 / 엔토마 바실리사 제타""]"
envious_face,not_in_snapshot,,,[],"[""envious_face""]","[""동작 1 / 얼굴 / 표정 / 부러운 표정""]"
erect_clitoris,snapshot_match,0,1935,[],"[""erect_clitoris""]","[""!섹스 / 보지 / 특징 / 음핵이 발기했다""]"
erection,snapshot_match,0,151691,[],"[""erection""]","[""!섹스 / 자지 / 특징 / 자지를 발기했다""]"
ereshkigal,not_in_snapshot,,,[],"[""Ereshkigal""]","[""작품 / 캐릭터 / Fate/Grand order / 에레쉬키갈""]"
erina_nakiri,not_in_snapshot,,,[],"[""Erina_Nakiri""]","[""작품 / 캐릭터 / 식극의 소마 / 나키리 에리나 ""]"
erina_pendleton,snapshot_match,4,615,[],"[""Erina_Pendleton""]","[""작품 / 캐릭터 / 죠죠의 기묘한 모험 / 에리나 펜들턴""]"
ermine_tail,not_in_snapshot,,,[],"[""ermine_tail""]","[""체형 / 꼬리 / 종류 / 족제비 꼬리""]"
eromanga,not_in_snapshot,,,[],"[""eromanga""]","[""기본 / 작화 / 스타일 / 에로 만화""]"
erza_scarlet,snapshot_match,4,1211,[],"[""Erza_Scarlet""]","[""작품 / 캐릭터 / 페어리테일 / 엘자 스칼렛""]"
esdeath,snapshot_match,4,592,[],"[""Esdeath""]","[""작품 / 캐릭터 / 아카메가 벤다 / 에스데스""]"
eto_yoshimura,not_in_snapshot,,,[],"[""Eto_Yoshimura""]","[""작품 / 캐릭터 / 도쿄 구울 / 요시무라 에토""]"
euphemia_li_britannia,snapshot_match,4,710,[],"[""Euphemia_li_Britannia""]","[""작품 / 캐릭터 / 코드 기어스 / 유페미아 리 브리타니아""]"
eurobeat,not_in_snapshot,,,[],"[""Eurobeat""]","[""기본 / 테마 / 음악 / 유로비트""]"
europa,not_in_snapshot,,,[],"[""Europa""]","[""작품 / 캐릭터 / Fate/Grand order / 에우로페""]"
euryale,alias_candidate_unverified,,,"[""euryale_(fate)""]","[""Euryale""]","[""작품 / 캐릭터 / Fate/Grand order / 에우리알레""]"
evangelion,alias_candidate_unverified,,,"[""neon_genesis_evangelion""]","[""Evangelion""]","[""작품 / 작품 / 목록 / 에반게리온""]"
evening_gown,snapshot_match,0,6758,[],"[""evening_gown""]","[""의상 / 의상 / 드레스 / 이브닝 드레스""]"
evergreen,not_in_snapshot,,,[],"[""Evergreen""]","[""작품 / 캐릭터 / 페어리테일 / 에버그린""]"
evil_face,not_in_snapshot,,,[],"[""evil_face""]","[""동작 1 / 얼굴 / 표정 / 사악한 표정""]"
evileye,not_in_snapshot,,,[],"[""Evileye""]","[""작품 / 캐릭터 / 오버로드 / 이블아이""]"
excessive_pubic_hair,snapshot_match,0,3648,[],"[""excessive_pubic_hair""]","[""!섹스 / 보지 / 모양 / 음모가 많다""]"
excessive_pussy_juice,snapshot_match,0,1077,[],"[""excessive_pussy_juice""]","[""!섹스 / 보지 / 특징 / 애액이 흥건하다""]"
expression_face,not_in_snapshot,,,[],"[""expression_face""]","[""동작 1 / 얼굴 / 표정 / 무표정한 표정""]"
extended_upskirt,snapshot_match,0,178,[],"[""extended_upskirt""]","[""동작 2 / 하의 / 행동 / 치마를 안에서 엿보다""]"
extra_anatomy,not_in_snapshot,,,[],"[""extra_anatomy""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_arms,snapshot_match,0,15869,[],"[""extra_arms""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_body,not_in_snapshot,,,[],"[""extra_body""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_chest,not_in_snapshot,,,[],"[""extra_chest""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_eyes,snapshot_match,0,14372,[],"[""extra_eyes""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_face,not_in_snapshot,,,[],"[""extra_face""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_feet,not_in_snapshot,,,[],"[""extra_feet""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_fingers,alias_candidate_unverified,,,"[""extra_digits""]","[""extra_fingers""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_hands,snapshot_match,0,560,[],"[""extra_hands""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_hips,not_in_snapshot,,,[],"[""extra_hips""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_legs,snapshot_match,0,962,[],"[""extra_legs""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_navel,not_in_snapshot,,,[],"[""extra_navel""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_nipples,snapshot_match,0,119,[],"[""extra_nipples""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
extra_toe,not_in_snapshot,,,[],"[""extra_toe""]","[""기본 / 품질 / 완성도 / 복수의 신체""]"
eye_contact,snapshot_match,0,69291,[],"[""eye_contact""]","[""기본 / 초점 / 시점 / 눈을 보고 있다""]"
eye_focus,snapshot_match,0,4219,[],"[""eye_focus""]","[""기본 / 초점 / 집중 / 눈에 집중한다""]"
eye_mask,snapshot_match,0,22692,[],"[""eye_mask""]","[""장신구 / 얼굴 장식 / 가면 / 안대""]"
eyebrow,not_in_snapshot,,,[],"[""Eyebrow""]","[""외모 / 눈 / 부위 / 눈썹""]"
eyebrow_piercing,snapshot_match,0,6044,[],"[""Eyebrow_piercing""]","[""장신구 / 기타 / 피어싱 / 눈썹 피어싱""]"
eyecontact,not_in_snapshot,,,[],"[""eyecontact""]","[""동작 1 / 몸 / 마주하다 / 눈을 맞추다""]"
eyelashes,snapshot_match,0,265925,[],"[""Eyelashes""]","[""외모 / 눈 / 부위 / 속눈썹""]"
eyelid_piercing,not_in_snapshot,,,[],"[""Eyelid_piercing""]","[""장신구 / 기타 / 피어싱 / 눈꺼풀 피어싱""]"
eyeliner,snapshot_match,0,45771,[],"[""eyeliner""]","[""동작 1 / 얼굴 / 화장하다 / 눈꼬리를 화장하다"", ""외모 / 눈 / 특징 / 눈꼬리를 화장하다""]"
eyes,not_in_snapshot,,,[],"[""Eyes""]","[""외모 / 눈 / 부위 / 눈""]"
eyes_closed,alias_candidate_unverified,,,"[""closed_eyes""]","[""eyes_closed""]","[""외모 / 눈 / 특징 / 눈을 양쪽을 감았다""]"
eyeshadow,snapshot_match,0,73528,[],"[""eyeshadow""]","[""동작 1 / 얼굴 / 화장하다 / 눈꺼풀을 화장하다"", ""외모 / 눈 / 특징 / 눈꺼풀을 화장하다""]"
eyewear_hang,snapshot_match,0,2673,[],"[""eyewear_hang""]","[""동작 2 / 안경 / 행동 / 안경을 옷 위에 걸다""]"
eyewear_in_mouth,snapshot_match,0,343,[],"[""eyewear_in_mouth""]","[""동작 2 / 안경 / 행동 / 안경을 입으로 물다""]"
eyewear_on_head,snapshot_match,0,99915,[],"[""eyewear_on_head""]","[""동작 2 / 안경 / 행동 / 안경을 머리 위에 올리다""]"
eyewear_on_headwear,snapshot_match,0,3973,[],"[""eyewear_on_headwear""]","[""동작 2 / 안경 / 행동 / 안경을 모자 위에 올리다""]"
eyewear_removed,alias_candidate_unverified,,,"[""unworn_eyewear""]","[""eyewear_removed""]","[""동작 2 / 안경 / 행동 / 안경을 벗었다""]"
eyewear_strap,snapshot_match,0,4971,[],"[""eyewear_strap""]","[""장신구 / 얼굴 장식 / 안경 / 안경끈 달린 안경""]"
eyewear_switch,snapshot_match,0,178,[],"[""eyewear_switch""]","[""동작 2 / 안경 / 행동 / 안경을 바꿔 끼다""]"
eyewear_view,snapshot_match,0,253,[],"[""eyewear_view""]","[""동작 2 / 안경 / 행동 / 안경을 끼고 본다""]"
face,not_in_snapshot,,,[],"[""face""]","[""기본 / 초점 / 강조 / 얼굴을 강조한다"", ""외모 / 얼굴 / 부위 / 얼굴""]"
face_fuck,not_in_snapshot,,,[],"[""face_fuck""]","[""!섹스 / 섹스 / 펠라치오 / 구강 성교한다""]"
face_paint,alias_candidate_unverified,,,"[""facepaint""]","[""face_paint""]","[""동작 1 / 얼굴 / 화장하다 / 얼굴에 낙서하다""]"
face_punch,snapshot_match,0,880,[],"[""face_punch""]","[""동작 1 / 손 / 때리다 / 주먹으로 얼굴을 때리다""]"
facepalm,snapshot_match,0,1822,[],"[""facepalm""]","[""동작 1 / 손 / 동작 / 손으로 얼굴을 덮다""]"
faceplant,snapshot_match,0,702,[],"[""faceplant""]","[""동작 1 / 몸 / 동작 / 얼굴로 떨어지다""]"
facial,snapshot_match,0,61552,[],"[""facial""]","[""!섹스 / 섹스 / 사정 / 정액을 얼굴에 뿌리다""]"
factory,snapshot_match,0,664,[],"[""factory""]","[""기본 / 장소 / 현장 / 공장""]"
fainting,snapshot_match,0,646,[],"[""fainting""]","[""동작 1 / 손 / 부채질하다 / 손으로 부채질하다""]"
fairy,snapshot_match,0,23385,[],"[""Fairy""]","[""인물 / 종족 / 판타지 / 요정""]"
fairy_tail,snapshot_match,3,4608,[],"[""Fairy_Tail""]","[""작품 / 작품 / 목록 / 페어리테일""]"
fairy_wings,snapshot_match,0,25877,[],"[""Fairy_wings""]","[""체형 / 날개 / 종류 / 요정 날개""]"
fake_animal_ears,snapshot_match,0,236798,[],"[""fake_animal_ears""]","[""외모 / 귀 / 모양 / 가짜 동물귀""]"
fake_cover,snapshot_match,0,5041,[],"[""fake_cover""]","[""기본 / 테마 / 표지 / 가짜 표지""]"
fake_wings,snapshot_match,0,5060,[],"[""Fake_wings""]","[""체형 / 날개 / 종류 / 가짜 날개""]"
faller_maid,not_in_snapshot,,,[],"[""Faller_Maid""]","[""인물 / 직업 / 메이드 / 팔러 메이드""]"
faller_maid_costume,not_in_snapshot,,,[],"[""Faller_maid_costume""]","[""의상 / 의상 / 코스튬 / 팔러 메이드복""]"
falling,snapshot_match,0,15551,[],"[""falling""]","[""동작 1 / 손 / 부채질하다 / 손으로 부채질하며 말하다""]"
fanning_crotch,snapshot_match,0,585,[],"[""fanning_crotch""]","[""동작 1 / 손 / 부채질하다 / 손으로 부채질해 가랑이를 식히다""]"
fanning_face,snapshot_match,0,912,[],"[""fanning_face""]","[""동작 1 / 손 / 부채질하다 / 손으로 부채질해 얼굴을 식히다""]"
fantasy,snapshot_match,0,20502,[],"[""Fantasy""]","[""기본 / 테마 / 장르 / 판타지""]"
farmer,snapshot_match,0,418,[],"[""farmer""]","[""인물 / 직업 / 신분 / 농장주""]"
fat,snapshot_match,0,19852,[],"[""fat""]","[""체형 / 몸 / 모양 / 몸이 뚱뚱하다""]"
fat_mons,snapshot_match,0,7732,[],"[""fat_mons""]","[""!섹스 / 보지 / 특징 / 보지가 통통하다""]"
fate_extrafate_extra,not_in_snapshot,,,[],"[""Fate_Extrafate_extra""]","[""작품 / 작품 / 목록 / Fate/Extrafate extra""]"
fate_grand_order,not_in_snapshot,,,[],"[""Fate_grand_order""]","[""작품 / 작품 / 목록 / Fate/Grand order""]"
fate_kaleid_liner_prisma_illya,not_in_snapshot,,,[],"[""Fate_kaleid_liner_prisma_illya""]","[""작품 / 작품 / 목록 / Fate/Kaleid liner prisma illya""]"
fate_stay_night,alias_candidate_unverified,,,"[""fate/stay_night""]","[""Fate_Stay_Night""]","[""작품 / 작품 / 목록 / Fate/Stay Night""]"
father,not_in_snapshot,,,[],"[""father""]","[""인물 / 인물 / 위치 / 아버지""]"
father_and_daughter,snapshot_match,0,11547,[],"[""father_and_daughter""]","[""인물 / 인물 / 관계 / 아버지와 딸""]"
father_and_son,snapshot_match,0,7490,[],"[""father_and_son""]","[""인물 / 인물 / 관계 / 아버지와 아들""]"
faux_traditional_media,snapshot_match,0,5126,[],"[""faux_traditional_media""]","[""기본 / 작화 / 화풍 / 가짜 손 그림""]"
feathered_wings,snapshot_match,0,108723,[],"[""feathered_wings""]","[""체형 / 날개 / 종류 / 깃털 날개""]"
fedora,snapshot_match,0,10184,[],"[""fedora""]","[""장신구 / 머리 장식 / 모자 / 탐정 모자""]"
feeding,snapshot_match,0,12539,[],"[""feeding""]","[""행동 / 동사 / 동사 ㅎ / 누군가에게 음식을 권하다""]"
feel.,not_in_snapshot,,,[],"[""feel.""]","[""작품 / 작품 / 제작 / feel.""]"
feet_out_of_frame,snapshot_match,0,239483,[],"[""feet_out_of_frame""]","[""기본 / 초점 / 강조 / 얼굴~발목에 집중한다""]"
felching,snapshot_match,0,122,[],"[""felching""]","[""!섹스 / 섹스 / 사정 / 정액을 핡아먹다""]"
fellatio,snapshot_match,0,98467,[],"[""fellatio""]","[""!섹스 / 섹스 / 펠라치오 / 펠라치오한다""]"
fellatio_gesture,snapshot_match,0,6245,[],"[""Fellatio_gesture""]","[""!섹스 / 섹스 / 펠라치오 / 펠라치오를 흉내낸다""]"
fellatio_under_mask,snapshot_match,0,597,[],"[""fellatio_under_mask""]","[""!섹스 / 섹스 / 펠라치오 / 마스크 아래로 펠라치오한다""]"
female,not_in_snapshot,,,[],"[""female""]","[""체형 / 몸 / 성별 / 여성""]"
female_service_cap,snapshot_match,0,1278,[],"[""female_service_cap""]","[""장신구 / 머리 장식 / 모자 / 여성 유니폼 모자""]"
females_only,not_in_snapshot,,,[],"[""females_only""]","[""!섹스 / 섹스 / 상황 / 여자만 나온다""]"
ferret,snapshot_match,0,1573,[],"[""ferret""]","[""인물 / 종족 / 동물 / 족제비""]"
ferret_costume,not_in_snapshot,,,[],"[""ferret_costume""]","[""의상 / 의상 / 코스튬 / 족제비 코스튬""]"
ferret_ears,snapshot_match,0,828,[],"[""ferret_ears""]","[""외모 / 귀 / 모양 / 족제비 귀""]"
ferret_furry,not_in_snapshot,,,[],"[""_ferret_furry""]","[""인물 / 종족 / 퍼리 / 족제비 수인""]"
ferret_human,not_in_snapshot,,,[],"[""ferret_human""]","[""인물 / 종족 / 수인 / 족제비 인간""]"
ferris_wheel,snapshot_match,0,3023,[],"[""ferris_wheel""]","[""기본 / 장소 / 유흥 / 관람차""]"
fetal_position,snapshot_match,0,4869,[],"[""fetal_position""]","[""동작 1 / 몸 / 눕다 / 누워서 웅크리다""]"
fez_hat,snapshot_match,0,235,[],"[""fez_hat""]","[""장신구 / 머리 장식 / 모자 / 원통형 모자""]"
ffm_threesome,snapshot_match,0,18674,[],"[""ffm_threesome""]","[""!섹스 / 섹스 / 상황 / 여자 2명과 남자 1명""]"
fidgeting,snapshot_match,0,1522,[],"[""_fidgeting"", ""fidgeting""]","[""동작 1 / 손 / 동작 / 손을 안절부절하다"", ""행동 / 동사 / 동사 ㅇ / 누군가 안절부절하다""]"
field,snapshot_match,0,21493,[],"[""field""]","[""기본 / 장소 / 현장 / 밭""]"
fiery_wings,snapshot_match,0,1462,[],"[""Fiery_wings""]","[""체형 / 날개 / 종류 / 불꽃 날개""]"
fig_sign,snapshot_match,0,235,[],"[""fig_sign""]","[""동작 1 / 손 / 동작 / 손으로 주먹쥐다""]"
fighting,snapshot_match,0,8564,[],"[""fighting""]","[""행동 / 동사 / 동사 ㅅ / 누군가 싸우다""]"
fighting_stance,snapshot_match,0,33963,[],"[""fighting_stance""]","[""동작 1 / 몸 / 동작 / 싸울 자세를 잡는다""]"
figure_four_sitting,snapshot_match,0,1224,[],"[""figure_four_sitting""]","[""동작 1 / 다리 / 자세 / 다리를 앉아서 껴안다""]"
filming,alias_candidate_unverified,,,"[""recording""]","[""filming""]","[""!섹스 / 섹스 / 설정 / 촬영하다""]"
fine_art_parody={akame_ga_kill!},placeholder_review,,,[],"[""fine_art_parody={Akame_ga_Kill!}""]","[""작품 / 작품 / 스타일 / 아카메가 벤다""]"
fine_art_parody={ansatsu_kyoushitsu},placeholder_review,,,[],"[""fine_art_parody={Ansatsu_Kyoushitsu}""]","[""작품 / 작품 / 스타일 / 암살교실""]"
fine_art_parody={ao_no_exorcist},placeholder_review,,,[],"[""fine_art_parody={Ao_no_Exorcist}""]","[""작품 / 작품 / 스타일 / 청의 엑소시스트""]"
fine_art_parody={bakemonogatari},placeholder_review,,,[],"[""fine_art_parody={Bakemonogatari}""]","[""작품 / 작품 / 스타일 / 바케모노가타리""]"
fine_art_parody={beelzebub},placeholder_review,,,[],"[""fine_art_parody={Beelzebub}""]","[""작품 / 작품 / 스타일 / 벨제부브""]"
fine_art_parody={black_bullet},placeholder_review,,,[],"[""fine_art_parody={Black_Bullet}""]","[""작품 / 작품 / 스타일 / 블랙 불릿""]"
fine_art_parody={black_clover},placeholder_review,,,[],"[""fine_art_parody={Black_Clover}""]","[""작품 / 작품 / 스타일 / 블랙 클로버""]"
fine_art_parody={black_lagoon},placeholder_review,,,[],"[""fine_art_parody={Black_Lagoon}""]","[""작품 / 작품 / 스타일 / 블랙 라군""]"
fine_art_parody={bleach},placeholder_review,,,[],"[""fine_art_parody={Bleach}""]","[""작품 / 작품 / 스타일 / 블리치""]"
fine_art_parody={blue_archive},placeholder_review,,,[],"[""fine_art_parody={Blue_archive}""]","[""작품 / 작품 / 스타일 / 블루 아카이브""]"
fine_art_parody={boku_wa_tomodachi_ga_sukunai},placeholder_review,,,[],"[""fine_art_parody={Boku_wa_tomodachi_ga_sukunai}""]","[""작품 / 작품 / 스타일 / 나는 친구가 적다""]"
fine_art_parody={code_geass},placeholder_review,,,[],"[""fine_art_parody={Code_Geass}""]","[""작품 / 작품 / 스타일 / 코드 기어스""]"
fine_art_parody={danganronpa},placeholder_review,,,[],"[""fine_art_parody={Danganronpa}""]","[""작품 / 작품 / 스타일 / 단간론파""]"
fine_art_parody={darling_in_the_franxx},placeholder_review,,,[],"[""fine_art_parody={Darling_in_the_FranXX}""]","[""작품 / 작품 / 스타일 / 달링 인 더 프랑키스""]"
fine_art_parody={dc_comics},placeholder_review,,,[],"[""fine_art_parody={DC_Comics}""]","[""작품 / 작품 / 스타일 / DC 코믹스""]"
fine_art_parody={dragon_boll},placeholder_review,,,[],"[""fine_art_parody={Dragon_Boll}""]","[""작품 / 작품 / 스타일 / 드래곤볼""]"
fine_art_parody={dunmachi},placeholder_review,,,[],"[""fine_art_parody={DunMachi}""]","[""작품 / 작품 / 스타일 / 던전에서 만남을 추구하면 안 되는 걸까?""]"
fine_art_parody={durarara!!},placeholder_review,,,[],"[""fine_art_parody={Durarara!!}""]","[""작품 / 작품 / 스타일 / 듀라라라!""]"
fine_art_parody={evangelion},placeholder_review,,,[],"[""fine_art_parody={Evangelion}""]","[""작품 / 작품 / 스타일 / 에반게리온""]"
fine_art_parody={fairy_tail},placeholder_review,,,[],"[""fine_art_parody={Fairy_Tail}""]","[""작품 / 작품 / 스타일 / 페어리테일""]"
fine_art_parody={fate_extrafate_extra},placeholder_review,,,[],"[""fine_art_parody={Fate_Extrafate_extra}""]","[""작품 / 작품 / 스타일 / Fate/Extrafate extra""]"
fine_art_parody={fate_grand_order},placeholder_review,,,[],"[""fine_art_parody={Fate_grand_order}""]","[""작품 / 작품 / 스타일 / Fate/Grand order""]"
fine_art_parody={fate_kaleid_liner_prisma_illya},placeholder_review,,,[],"[""fine_art_parody={Fate_kaleid_liner_prisma_illya}""]","[""작품 / 작품 / 스타일 / Fate/Kaleid liner prisma illya""]"
fine_art_parody={fate_stay_night},placeholder_review,,,[],"[""fine_art_parody={Fate_Stay_Night}""]","[""작품 / 작품 / 스타일 / Fate/Stay Night""]"
fine_art_parody={fullmetal_alchemist},placeholder_review,,,[],"[""fine_art_parody={Fullmetal_Alchemist}""]","[""작품 / 작품 / 스타일 / 강철의 연금술사""]"
fine_art_parody={gakusen_toshi_asterisk},placeholder_review,,,[],"[""fine_art_parody={Gakusen_Toshi_Asterisk}""]","[""작품 / 작품 / 스타일 / 학전도시 아스터리스크""]"
fine_art_parody={ghost_in_the_shell},placeholder_review,,,[],"[""fine_art_parody={GHOST_IN_THE_SHELL}""]","[""작품 / 작품 / 스타일 / 공각기동대""]"
fine_art_parody={gintama},placeholder_review,,,[],"[""fine_art_parody={Gintama}""]","[""작품 / 작품 / 스타일 / 은혼""]"
fine_art_parody={goblin_slayer},placeholder_review,,,[],"[""fine_art_parody={Goblin_Slayer}""]","[""작품 / 작품 / 스타일 / 고블린 슬레이어""]"
fine_art_parody={hellsing},placeholder_review,,,[],"[""fine_art_parody={Hellsing}""]","[""작품 / 작품 / 스타일 / 헬싱""]"
fine_art_parody={high_school_dxd},placeholder_review,,,[],"[""fine_art_parody={High_school_dxd}""]","[""작품 / 작품 / 스타일 / 하이스쿨 dxd""]"
fine_art_parody={highschool_of_the_dead},placeholder_review,,,[],"[""fine_art_parody={Highschool_of_the_Dead}""]","[""작품 / 작품 / 스타일 / 하이스쿨 오브 더 데드""]"
fine_art_parody={hunter_x_hunter},placeholder_review,,,[],"[""fine_art_parody={Hunter_x_Hunter}""]","[""작품 / 작품 / 스타일 / 헌터x헌터""]"
fine_art_parody={infinite_stratos},placeholder_review,,,[],"[""fine_art_parody={Infinite_Stratos}""]","[""작품 / 작품 / 스타일 / 인피니트 스트라토스""]"
fine_art_parody={inuyasha},placeholder_review,,,[],"[""fine_art_parody={InuYasha}""]","[""작품 / 작품 / 스타일 / 이누야샤""]"
fine_art_parody={jojo_no_kimyou_na_bouken},placeholder_review,,,[],"[""fine_art_parody={JoJo_no_Kimyou_na_Bouken}""]","[""작품 / 작품 / 스타일 / 죠죠의 기묘한 모험""]"
fine_art_parody={kill_la_kill},placeholder_review,,,[],"[""fine_art_parody={Kill_la_Kill}""]","[""작품 / 작품 / 스타일 / 킬 라 킬""]"
fine_art_parody={kimetsu_no_yaiba},placeholder_review,,,[],"[""fine_art_parody={Kimetsu_no_yaiba}""]","[""작품 / 작품 / 스타일 / 귀멸의 칼날""]"
